# timestamp tx ty tz qx qy qz qw
1520616724.357818365 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1520616724.407773018 -0.291976433 0.426069329 0.856279563 -0.000914964 -0.001178883 -0.002899712 0.999994682
1520616724.607778788 -0.863895659 0.479235581 0.037694352 -0.002204194 -0.007152523 -0.004403836 0.999962294
1520616724.907791853 -1.244202336 -0.047363361 0.797997177 0.002311644 -0.001643448 -0.007494664 0.999967892
1520616725.007794619 -1.868441457 0.124337234 1.560128679 -0.000857453 0.000241029 -0.009538728 0.999954109
1520616725.107797861 -2.233660615 0.270112172 0.640691550 -0.004727259 -0.003388442 -0.007250190 0.999956802
1520616725.457863331 -2.098948121 0.374130525 1.626101478 0.004554051 -0.000117769 -0.008147743 0.999956430
1520616726.457912922 -2.096513867 0.118325349 2.592826768 0.013137142 -0.001527372 -0.006905273 0.999888694
1520616726.907950163 -1.767914671 0.362417543 1.680444409 0.010744948 0.000300390 -0.006654498 0.999920084
1520616728.857952833 -1.850558749 0.307588425 0.685374700 0.012052618 -0.000111291 -0.006623482 0.999905421
1520616731.008053780 -1.131080602 0.914746614 0.348165374 0.014549787 0.001090941 -0.004911543 0.999881488
1520616731.058054686 -0.264450120 1.265187738 -0.007000259 0.013974258 0.002877273 -0.004888114 0.999886267
1520616731.108055592 0.446406472 1.807458017 -0.454913030 0.009313966 0.006153812 -0.004815683 0.999926092
1520616731.158057690 0.966357203 2.556404842 -0.865680471 0.001884789 0.009605801 -0.005102104 0.999939070
1520616731.208058596 1.694089263 2.999425257 -1.389263283 -0.009448010 0.013622863 -0.003908249 0.999854929
1520616731.258060694 2.263071325 3.762121929 -1.696758324 -0.018395699 0.017413596 -0.001524474 0.999677969
1520616731.308061600 2.922396130 4.429283224 -2.043437726 -0.026548070 0.020299549 0.001850127 0.999439696
1520616731.358057022 3.628554192 5.064732518 -2.355759654 -0.033064429 0.024467927 0.003955698 0.999145843
1520616731.408058882 4.359270917 5.670330913 -2.670884471 -0.038108018 0.027948910 0.003184895 0.998877617
1520616731.458060026 5.044190629 6.347720776 -2.939264727 -0.043980438 0.030785808 0.001340804 0.998557038
1520616731.508141756 5.878029605 6.786758622 -3.273866479 -0.054181289 0.034142822 -0.003508056 0.997941055
1520616731.558062792 6.732704236 7.217157385 -3.564190747 -0.065855394 0.040172509 -0.011133799 0.996958011
1520616731.608065128 7.697615801 7.211298835 -3.826700457 -0.078856784 0.048759218 -0.021234294 0.995466349
1520616731.658066034 8.660374144 7.438395804 -3.973408805 -0.083203377 0.060267289 -0.030869166 0.994229423
1520616731.708067894 9.594247128 7.081189851 -3.956522194 -0.081750793 0.070000637 -0.037599778 0.993480234
1520616731.757885695 10.469763725 6.644353661 -3.750015944 -0.072045984 0.079771087 -0.042644756 0.993291183
1520616731.807887793 10.762803912 7.074967341 -2.896377081 -0.052414653 0.094393650 -0.045178297 0.993127114
1520616731.857889891 10.948483795 7.423959358 -1.977830646 -0.032159713 0.109475129 -0.046481048 0.992381208
1520616731.907890797 11.146397787 7.435104057 -0.997674614 -0.013868621 0.124973285 -0.046090367 0.990991936
1520616731.957892895 11.300978333 7.671441075 -0.038378170 0.000706403 0.140128530 -0.047039204 0.989015070
1520616732.057895660 11.542808071 7.852097059 0.914974752 0.010916649 0.150204569 -0.043217468 0.987649566
1520616732.107896805 11.312879193 6.916566662 1.183145573 0.015443478 0.155037300 -0.037628038 0.987070952
1520616732.157942772 10.997792509 6.004327427 1.444946944 0.023989248 0.156541081 -0.033123291 0.986824328
1520616732.207943678 10.597651233 5.175690664 1.836416069 0.036413593 0.156597029 -0.029726843 0.986543327
1520616732.257945538 10.705710620 4.656991402 2.684516443 0.051750198 0.152103340 -0.027861182 0.986615551
1520616732.307947874 9.999209669 4.004454132 2.958471764 0.059410700 0.150518531 -0.023547694 0.986539430
1520616732.357948780 9.381307926 3.860879652 3.731507213 0.067821915 0.148176391 -0.019596419 0.986437999
1520616732.407950640 8.544388545 3.466308428 4.110821725 0.070594626 0.145048414 -0.017570375 0.986746491
1520616732.457952738 8.704551263 3.005749982 4.983881758 0.076275661 0.132559546 -0.020328606 0.988026689
1520616732.507953644 7.814104064 2.887733999 5.423399691 0.080017386 0.128657292 -0.021412310 0.988223675
1520616732.557955742 7.028161984 2.838366304 6.039725803 0.083086500 0.122667033 -0.021673689 0.988726294
1520616732.608239174 6.129396240 2.881788837 6.475999366 0.083668814 0.121305829 -0.020242134 0.988875463
1520616732.658241034 5.280684303 2.936944368 7.001970767 0.082978462 0.118933812 -0.016847461 0.989285341
1520616732.708242178 4.443918168 2.779324561 7.526354627 0.079667622 0.112984416 -0.013184975 0.990309925
1520616732.758244038 3.494683522 2.552127423 7.743920816 0.073525598 0.109595006 -0.008041378 0.991220590
1520616732.808248043 2.595698088 2.588433801 8.180391934 0.073124880 0.106686147 -0.004692038 0.991589029
1520616732.858247280 1.658134254 2.544452804 8.525413279 0.072690008 0.104686918 -0.002334377 0.991842408
1520616732.908249140 0.768678910 2.360564984 8.943808380 0.072925883 0.099406862 0.001188690 0.992370233
1520616732.958250046 -0.147899082 2.094359128 9.242169281 0.075593104 0.094798346 0.005405507 0.992607544
1520616733.008350372 -1.034925219 1.787253916 9.586946051 0.080947374 0.088142872 0.010408892 0.992758788
1520616733.058351278 -1.924112679 1.390560881 9.814937930 0.084932182 0.079828624 0.012987530 0.993098806
1520616733.108353376 -2.800113325 1.303888871 10.289396391 0.090985117 0.071507166 0.015027275 0.993167969
1520616733.158354521 -3.700936322 0.928644329 10.507821346 0.089612358 0.063132616 0.012102451 0.993900110
1520616733.208356380 -4.520331458 0.755896779 11.054401528 0.087449227 0.051955843 0.004132408 0.994804577
1520616733.258357286 -4.463021348 0.194521782 11.879976275 0.080878626 0.028811951 -0.003846993 0.996300015
1520616733.308359385 -5.257406043 -0.105992637 12.407843722 0.072977667 0.014673321 -0.005829164 0.997208591
1520616733.358360291 -5.526945764 -0.393256626 13.326988835 0.067057606 -0.004685145 -0.004053256 0.997729872
1520616733.408395529 -6.106622209 -0.513648884 14.132892628 0.063382644 -0.019943950 0.002426904 0.997787046
1520616733.458397388 -6.162736285 -1.025220487 14.990299011 0.061935716 -0.036971058 0.005673240 0.997379026
1520616733.508398533 -6.346986217 -1.327845888 15.925429926 0.066354219 -0.055250967 0.010234549 0.996212679
1520616733.558400631 -6.630669795 -1.704957861 16.807081891 0.074182696 -0.073084786 0.011751260 0.994493564
1520616733.608401775 -7.064048927 -2.069491457 17.631277126 0.084581975 -0.091365606 0.011824593 0.992148373
1520616733.658403635 -7.530940438 -2.448542606 18.430234286 0.093216538 -0.112177082 0.011045503 0.989244649
1520616733.708404541 -8.481612250 -2.558393736 18.140138034 0.096108577 -0.124843803 0.011230627 0.987446727
1520616733.758406639 -8.844432933 -3.186574117 18.828433437 0.096092654 -0.146999750 0.005993293 0.984439615
1520616733.808284521 -9.219622779 -3.805743402 19.518260934 0.094398588 -0.166124267 0.003099240 0.981571204
1520616733.858286381 -9.749283011 -4.319922897 20.192856729 0.092591781 -0.182469538 0.003287530 0.978836463
1520616733.908288240 -10.228055353 -4.873399169 20.874355855 0.091199570 -0.196755289 0.004290591 0.976192392
1520616733.958289385 -10.835715197 -5.330121690 21.524089688 0.089864341 -0.209112355 0.005853088 0.973736188
1520616734.008291245 -11.356583011 -6.005077366 22.046709585 0.087309028 -0.218979894 0.008600538 0.971777223
1520616734.058292389 -10.992758566 -5.398256733 21.340026846 0.081293473 -0.223965461 0.012049792 0.971125968
1520616734.108294487 -10.403188468 -5.151752323 22.109209968 0.067837484 -0.227942877 0.018785266 0.971126786
1520616734.158296347 -9.525730236 -4.936409250 21.680614107 0.047912895 -0.226627767 0.025433980 0.972469703
1520616734.208430290 -8.837110020 -4.809864501 20.966619272 0.023896682 -0.219890556 0.030177079 0.974764811
1520616734.258431435 -8.162655691 -4.575881543 20.266359797 -0.000595579 -0.209807803 0.032297721 0.977208877
1520616734.308432341 -7.775844382 -4.369470962 19.367598603 -0.021813341 -0.198407246 0.034720852 0.979261561
1520616734.358434677 -7.159975558 -4.763008226 18.685078263 -0.040065968 -0.190948035 0.031175699 0.980286510
1520616734.408436537 -6.665367381 -4.820035466 17.817835134 -0.054339315 -0.180193610 0.032719875 0.981583879
