frame_idx,timestamp_ns,status,n_tracked,n_inliers
0,1520616724357818310,INIT,2000,0
1,1520616724407772924,OK,2000,1872
2,1520616724457774924,POSE_FAIL,1872,0
3,1520616724507775924,POSE_FAIL,1872,0
4,1520616724557777924,POSE_FAIL,1872,0
5,1520616724607778924,OK,1872,1827
6,1520616724657780924,POSE_FAIL,1827,0
7,1520616724707781924,POSE_FAIL,1827,0
8,1520616724757783924,POSE_FAIL,1827,0
9,1520616724807788801,POSE_FAIL,1827,0
10,1520616724857789801,POSE_FAIL,1827,0
11,1520616724907791801,OK,1827,1776
12,1520616724957894801,POSE_FAIL,1776,0
13,1520616725007794801,OK,1776,1731
14,1520616725057795801,POSE_FAIL,1731,0
15,1520616725107797801,OK,1731,1727
16,1520616725157798801,POSE_FAIL,1727,0
17,1520616725207800801,POSE_FAIL,1727,0
18,1520616725257856328,POSE_FAIL,1727,0
19,1520616725307858328,POSE_FAIL,1727,0
20,1520616725357859328,POSE_FAIL,1727,0
21,1520616725407861328,POSE_FAIL,1727,0
22,1520616725457863328,OK,1727,1717
23,1520616725507864328,POSE_FAIL,1717,0
24,1520616725557866328,POSE_FAIL,1717,0
25,1520616725607868328,POSE_FAIL,1717,0
26,1520616725657862380,POSE_FAIL,1717,0
27,1520616725707863380,POSE_FAIL,1717,0
28,1520616725757865380,POSE_FAIL,1717,0
29,1520616725807866380,POSE_FAIL,1717,0
30,1520616725857868380,POSE_FAIL,1717,0
31,1520616725907871380,POSE_FAIL,1717,0
32,1520616725957871380,POSE_FAIL,1717,0
33,1520616726007873380,POSE_FAIL,1717,0
34,1520616726057950187,POSE_FAIL,1717,0
35,1520616726107951187,POSE_FAIL,1717,0
36,1520616726157953187,POSE_FAIL,1717,0
37,1520616726207954187,POSE_FAIL,1717,0
38,1520616726257956187,POSE_FAIL,1717,0
39,1520616726307958187,POSE_FAIL,1717,0
40,1520616726357959187,POSE_FAIL,1717,0
41,1520616726407961187,POSE_FAIL,1717,0
42,1520616726457912924,OK,1717,1704
43,1520616726507914924,POSE_FAIL,1704,0
44,1520616726557915924,POSE_FAIL,1704,0
45,1520616726607916924,POSE_FAIL,1704,0
46,1520616726657918924,POSE_FAIL,1704,0
47,1520616726707920924,POSE_FAIL,1704,0
48,1520616726757921924,POSE_FAIL,1704,0
49,1520616726807923924,POSE_FAIL,1704,0
50,1520616726857948152,POSE_FAIL,1704,0
51,1520616726907950152,OK,1704,1703
52,1520616726957951152,POSE_FAIL,1703,0
53,1520616727007953152,POSE_FAIL,1703,0
54,1520616727057955152,POSE_FAIL,1699,0
55,1520616727107956152,POSE_FAIL,1699,0
56,1520616727157958152,POSE_FAIL,1699,0
57,1520616727207959152,POSE_FAIL,1699,0
58,1520616727257898906,POSE_FAIL,1699,0
59,1520616727307899906,POSE_FAIL,1699,0
60,1520616727357901906,POSE_FAIL,1699,0
61,1520616727407903906,POSE_FAIL,1699,0
62,1520616727457904906,POSE_FAIL,1699,0
63,1520616727507906906,POSE_FAIL,1699,0
64,1520616727557908906,POSE_FAIL,1699,0
65,1520616727607909906,POSE_FAIL,1699,0
66,1520616727657911906,POSE_FAIL,1699,0
67,1520616727707913275,POSE_FAIL,1699,0
68,1520616727757913275,POSE_FAIL,1699,0
69,1520616727807916275,POSE_FAIL,1699,0
70,1520616727857917275,POSE_FAIL,1699,0
71,1520616727907918275,POSE_FAIL,1699,0
72,1520616727957920275,POSE_FAIL,1699,0
73,1520616728007921275,POSE_FAIL,1699,0
74,1520616728057923275,POSE_FAIL,1699,0
75,1520616728107905678,POSE_FAIL,1699,0
76,1520616728157907678,POSE_FAIL,1699,0
77,1520616728207920678,POSE_FAIL,1699,0
78,1520616728257910678,POSE_FAIL,1699,0
79,1520616728307912678,POSE_FAIL,1699,0
80,1520616728357913678,POSE_FAIL,1699,0
81,1520616728407915678,POSE_FAIL,1699,0
82,1520616728457916678,POSE_FAIL,1699,0
83,1520616728507941696,POSE_FAIL,1699,0
84,1520616728557942696,POSE_FAIL,1699,0
85,1520616728607944696,POSE_FAIL,1699,0
86,1520616728657946696,POSE_FAIL,1699,0
87,1520616728707947696,POSE_FAIL,1699,0
88,1520616728757949696,POSE_FAIL,1699,0
89,1520616728807950696,POSE_FAIL,1699,0
90,1520616728857952696,OK,1699,1699
91,1520616728907965485,POSE_FAIL,1699,0
92,1520616728957967485,POSE_FAIL,1699,0
93,1520616729007968485,POSE_FAIL,1699,0
