# timestamp tx ty tz qx qy qz qw
1520439642.052073717 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1520439642.102074623 0.050670828 0.205845782 0.977271703 0.000976664 -0.002012308 -0.000048088 0.999997497
1520439642.152076483 0.940961162 0.606936739 0.761611865 0.002909154 -0.002727863 0.001065333 0.999991480
1520439642.252079725 1.054686507 0.162170816 -0.126785467 0.004686341 -0.005758634 0.003095766 0.999967646
1520439642.302081585 1.945061114 0.608595298 -0.037688665 0.006444501 -0.007558519 0.003183890 0.999945599
1520439642.352087021 1.062662093 0.141687447 0.020354645 0.008702290 -0.008045949 0.002472739 0.999926707
1520439642.402089119 0.113774301 -0.173462281 0.003248915 0.008972499 -0.008536382 0.002961338 0.999918924
1520439642.452090025 -0.883253324 -0.219589864 -0.058461400 0.008228663 -0.009990475 0.003188152 0.999911154
1520439642.502092123 -1.867291297 -0.212237090 -0.236268048 0.009468750 -0.013293139 -0.000061056 0.999866807
1520439642.552093267 -2.847582174 -0.063755016 -0.366586391 0.010668821 -0.014875873 -0.002730283 0.999828700
1520439642.602095127 -3.833510746 -0.230915426 -0.368085763 0.007245134 -0.014123797 -0.003831280 0.999866665
1520439642.652096987 -4.817552902 -0.092853911 -0.480335719 0.003387150 -0.015035240 -0.002785573 0.999877347
1520439642.702098131 -5.784957595 0.153299574 -0.539805215 0.002180409 -0.013334707 -0.001030667 0.999908180
1520439642.752133369 -6.752208096 0.402179556 -0.589657233 0.001131476 -0.010391323 0.000397442 0.999945290
1520439642.802134514 -7.751886079 0.376843676 -0.591079821 -0.000797180 -0.005895572 0.002090392 0.999980118
1520439642.852136374 -8.750753704 0.350558691 -0.551424201 -0.002713744 -0.002217478 0.005561106 0.999978396
1520439642.902137280 -9.750423441 0.340690864 -0.575152710 -0.002867463 -0.000377075 0.010290431 0.999942870
1520439642.952139616 -10.747751050 0.267781623 -0.579830689 -0.001514890 -0.000434996 0.014616273 0.999891934
1520439643.002140522 -11.733315756 0.098661802 -0.572039987 0.000205685 -0.001571624 0.015719124 0.999875191
1520439643.052142382 -12.729651626 0.014350324 -0.557672995 0.004562565 -0.002425230 0.015362556 0.999868638
1520439643.102144480 -13.720979397 0.145594138 -0.551016414 0.005653395 -0.002144658 0.015572043 0.999860466
1520439643.152131319 -14.703141685 0.304499387 -0.651546823 0.003265304 -0.002248215 0.016321913 0.999858929
1520439643.202132463 -15.687274671 0.275911640 -0.826661090 0.002083696 -0.003084792 0.017036895 0.999847932
1520439643.252134323 -16.674806927 0.216214037 -0.972319046 0.001550214 -0.005270644 0.016448971 0.999849613
1520439643.302135229 -17.606749537 0.054608711 -1.296921402 -0.000576241 -0.009219426 0.013562125 0.999865360
1520439643.352137566 -18.532735191 0.122713377 -1.668286887 -0.001984001 -0.013927432 0.010277498 0.999848220
1520439643.402138472 -19.447335676 0.042955979 -2.064701707 -0.003396179 -0.017781136 0.006630704 0.999814148
1520439643.452140331 -20.373120284 0.067561536 -2.441951527 -0.005367798 -0.019717702 0.005038521 0.999778482
1520439643.502142429 -21.250097753 0.055165535 -2.922323110 -0.006924746 -0.020577427 0.004136676 0.999755723
1520439643.552162647 -22.104787527 0.095584928 -3.439886308 -0.007235505 -0.021798908 0.004662919 0.999725318
