frame_idx,timestamp_ns,status,n_tracked,n_inliers
0,1520439642052073604,INIT,2000,0
1,1520439642102074604,OK,2000,1848
2,1520439642152076604,OK,1848,1747
3,1520439642202077604,POSE_FAIL,1747,0
4,1520439642252079604,OK,1747,1671
5,1520439642302081604,OK,1671,1633
6,1520439642352087095,OK,1633,1620
7,1520439642402089095,OK,1620,1605
8,1520439642452090095,OK,1605,1592
9,1520439642502092095,OK,1592,1558
10,1520439642552093095,OK,1558,1545
11,1520439642602095095,OK,1545,1506
12,1520439642652097095,OK,1506,1492
13,1520439642702098095,OK,1492,1486
14,1520439642752133429,OK,1486,1474
15,1520439642802134429,OK,1474,1461
16,1520439642852136429,OK,1461,1454
17,1520439642902137429,OK,1454,1449
18,1520439642952139429,OK,1449,1424
19,1520439643002140429,OK,1424,1409
20,1520439643052142429,OK,1409,1403
21,1520439643102144429,OK,1403,1400
22,1520439643152131411,OK,1400,1398
23,1520439643202132411,OK,1398,1397
24,1520439643252134411,OK,1397,1372
25,1520439643302135411,OK,1372,1325
26,1520439643352137411,OK,1325,1316
27,1520439643402138411,OK,1316,1314
28,1520439643452140411,OK,1314,1298
29,1520439643502142411,OK,1298,1297
30,1520439643552162569,OK,1297,1289
31,1520439643602163569,OK,1289,1276
32,1520439643652165569,OK,1276,1270
33,1520439643702167569,OK,1270,1231
34,1520439643752168569,OK,1231,1230
35,1520439643802170569,OK,1230,1174
36,1520439643852171569,OK,1174,1162
37,1520439643902173569,OK,1162,1160
38,1520439643952174569,OK,1160,1110
39,1520439644002180779,OK,1110,1108
40,1520439644052181779,OK,1108,1101
41,1520439644102183779,OK,1101,1086
42,1520439644152184779,OK,1086,1031
43,1520439644202186779,OK,1031,1007
44,1520439644252188779,OK,1007,1006
45,1520439644302189779,OK,1006,999
46,1520439644352191779,OK,999,971
47,1520439644402186604,OK,971,942
48,1520439644452188604,OK,942,934
49,1520439644502189604,OK,934,926
50,1520439644552191604,OK,926,921
51,1520439644602192604,OK,921,919
52,1520439644652194604,OK,919,917
53,1520439644702196604,OK,917,899
54,1520439644752197604,OK,899,891
55,1520439644802232727,OK,891,885
56,1520439644852233727,OK,885,885
57,1520439644902235727,POSE_FAIL,885,0
58,1520439644952237727,POSE_FAIL,885,0
59,1520439645002238727,POSE_FAIL,885,0
60,1520439645052240727,POSE_FAIL,885,0
61,1520439645102242727,POSE_FAIL,885,0
62,1520439645152245727,OK,885,881
63,1520439645202271323,OK,881,880
64,1520439645252273323,OK,880,877
65,1520439645302275323,OK,877,851
66,1520439645352376323,OK,850,843
67,1520439645402278323,OK,843,838
68,1520439645452279323,OK,838,838
69,1520439645502281323,OK,838,838
70,1520439645552282323,OK,838,838
71,1520439645602247692,OK,838,838
72,1520439645652248692,OK,838,838
73,1520439645702250692,OK,838,838
74,1520439645752251692,OK,838,838
75,1520439645802253692,OK,838,838
76,1520439645852255692,OK,838,838
77,1520439645902256692,OK,838,837
78,1520439645952258692,OK,837,835
79,1520439646002280674,OK,835,806
80,1520439646052282674,OK,806,806
81,1520439646102283674,OK,806,780
82,1520439646152285674,OK,780,778
83,1520439646202287674,OK,778,778
84,1520439646252288674,OK,778,778
85,1520439646302291674,OK,778,778
86,1520439646352291674,OK,778,778
87,1520439646402293674,OK,778,778
88,1520439646452177779,OK,778,778
89,1520439646502178779,OK,778,778
90,1520439646552180779,OK,778,777
91,1520439646602181779,OK,777,773
92,1520439646652183779,OK,773,772
93,1520439646702184779,OK,772,772
94,1520439646752186779,OK,772,729
95,1520439646802188779,OK,729,723
96,1520439646852161130,OK,723,723
97,1520439646902159130,OK,723,721
98,1520439646952245130,OK,721,721
99,1520439647002163130,OK,721,720
100,1520439647052164130,OK,720,719
101,1520439647102166130,OK,719,719
102,1520439647152167130,OK,719,718
103,1520439647202169130,OK,718,718
104,1520439647252142411,OK,718,718
105,1520439647302144411,OK,718,718
106,1520439647352145411,OK,718,718
107,1520439647402147411,OK,718,718
108,1520439647452149411,OK,718,718
109,1520439647502150411,OK,718,718
110,1520439647552152411,OK,718,718
111,1520439647602154411,OK,718,718
112,1520439647652149025,OK,718,718
113,1520439647702150025,OK,718,718
114,1520439647752152025,OK,718,718
115,1520439647802154025,OK,718,718
116,1520439647852155025,OK,718,718
117,1520439647902157025,OK,718,718
118,1520439647952159025,OK,718,718
119,1520439648002161025,OK,718,718
120,1520439648052156271,OK,718,718
121,1520439648102158271,OK,718,718
122,1520439648152159271,POSE_FAIL,718,0
123,1520439648202161271,POSE_FAIL,718,0
124,1520439648252162271,POSE_FAIL,718,0
125,1520439648302163271,OK,718,718
126,1520439648352166271,OK,718,718
127,1520439648402167271,OK,718,718
128,1520439648452177394,OK,718,718
129,1520439648502178394,OK,718,718
130,1520439648552243394,OK,718,718
131,1520439648602182394,OK,718,717
132,1520439648652183394,OK,717,717
133,1520439648702185394,OK,717,717
134,1520439648752186394,OK,717,717
135,1520439648802188394,OK,717,716
136,1520439648852189394,OK,716,716
137,1520439648902203183,OK,716,716
138,1520439648952204183,OK,716,715
139,1520439649002206183,OK,715,715
140,1520439649052208183,OK,715,715
141,1520439649102209183,OK,715,715
142,1520439649152211183,OK,715,715
143,1520439649202212183,OK,715,715
144,1520439649252214183,OK,715,715
145,1520439649302214201,OK,715,715
146,1520439649352216201,OK,715,715
147,1520439649402217201,OK,715,715
148,1520439649452219201,OK,715,715
149,1520439649502221201,OK,715,715
150,1520439649552222201,OK,715,715
151,1520439649602224201,OK,715,715
152,1520439649652225201,OK,715,714
153,1520439649702198148,OK,714,714
154,1520439649752200148,OK,714,714
155,1520439649802202148,OK,714,714
156,1520439649852203148,OK,714,714
157,1520439649902204148,OK,714,714
158,1520439649952206148,OK,714,713
159,1520439650002207148,OK,713,713
160,1520439650052209148,OK,713,712
161,1520439650102240464,OK,712,712
162,1520439650152286464,OK,712,712
163,1520439650202244464,OK,712,712
164,1520439650252245464,OK,712,712
165,1520439650302247464,OK,712,712
166,1520439650352248464,OK,712,711
167,1520439650402250464,OK,711,704
168,1520439650452251464,OK,704,703
169,1520439650502337744,OK,703,702
170,1520439650552339744,OK,701,701
171,1520439650602340744,OK,701,697
172,1520439650652342744,OK,697,697
173,1520439650702343744,OK,697,697
174,1520439650752345744,OK,697,697
175,1520439650802346744,OK,697,697
176,1520439650852348744,OK,697,697
177,1520439650902349744,OK,697,697
178,1520439650952383043,OK,697,697
179,1520439651002384043,OK,697,697
180,1520439651052386043,OK,697,697
181,1520439651102388043,POSE_FAIL,697,0
182,1520439651152390043,POSE_FAIL,697,0
183,1520439651202391043,POSE_FAIL,697,0
184,1520439651252393043,POSE_FAIL,697,0
185,1520439651302394043,POSE_FAIL,697,0
186,1520439651352413586,OK,697,697
187,1520439651402415586,OK,697,697
188,1520439651452416586,OK,697,697
189,1520439651502417586,OK,697,697
190,1520439651552419586,OK,697,697
191,1520439651602421586,OK,697,697
192,1520439651652422586,OK,697,696
193,1520439651702423586,OK,696,696
194,1520439651752386534,OK,696,696
195,1520439651802370534,OK,696,696
196,1520439651852371534,OK,696,696
197,1520439651902373534,OK,696,696
198,1520439651952374534,OK,696,696
199,1520439652002376534,OK,696,696
200,1520439652052377534,OK,696,696
201,1520439652102379534,POSE_FAIL,696,0
202,1520439652152365587,OK,696,696
203,1520439652202367587,OK,696,696
204,1520439652252369587,OK,696,696
205,1520439652302370587,OK,696,696
206,1520439652352372587,OK,696,694
207,1520439652402373587,OK,694,694
208,1520439652452375587,OK,694,674
209,1520439652502376587,OK,674,674
210,1520439652552312341,OK,674,674
211,1520439652602313341,OK,674,674
212,1520439652652315341,OK,674,674
213,1520439652702318341,OK,674,674
214,1520439652752318341,OK,674,674
215,1520439652802320341,OK,674,674
216,1520439652852322341,OK,674,674
217,1520439652902324341,OK,674,674
218,1520439652952290043,OK,674,674
219,1520439653002291043,OK,674,674
220,1520439653052293043,OK,674,674
221,1520439653102294043,OK,674,674
222,1520439653152296043,OK,674,674
223,1520439653202298043,OK,674,674
224,1520439653252299043,OK,674,674
225,1520439653302300043,OK,674,674
226,1520439653352302043,OK,674,674
227,1520439653402418271,OK,674,674
228,1520439653452420271,OK,674,674
229,1520439653502422271,OK,674,674
230,1520439653552423271,POSE_FAIL,674,0
231,1520439653602425271,POSE_FAIL,674,0
232,1520439653652426271,OK,674,674
233,1520439653702428271,POSE_FAIL,674,0
234,1520439653752429271,POSE_FAIL,674,0
235,1520439653802499762,OK,674,674
236,1520439653852501762,POSE_FAIL,674,0
237,1520439653902502762,OK,674,674
238,1520439653952504762,OK,674,674
239,1520439654002505762,POSE_FAIL,674,0
240,1520439654052507762,POSE_FAIL,674,0
241,1520439654102509762,OK,674,674
242,1520439654152510762,POSE_FAIL,674,0
243,1520439654202495060,POSE_FAIL,674,0
244,1520439654252497060,OK,674,674
245,1520439654302499060,POSE_FAIL,674,0
246,1520439654352501060,POSE_FAIL,674,0
247,1520439654402502060,POSE_FAIL,674,0
248,1520439654452504060,OK,674,674
249,1520439654502505060,OK,674,674
250,1520439654552507060,POSE_FAIL,674,0
251,1520439654602432218,OK,674,674
252,1520439654652433218,OK,674,674
253,1520439654702434218,OK,674,674
254,1520439654752436218,POSE_FAIL,674,0
255,1520439654802437218,OK,674,674
256,1520439654852439218,OK,674,674
257,1520439654902441218,OK,674,674
258,1520439654952443218,OK,674,674
259,1520439655002363639,OK,674,673
260,1520439655052365639,OK,673,673
261,1520439655102367639,OK,673,673
262,1520439655152368639,OK,673,673
263,1520439655202370639,OK,673,673
264,1520439655252371639,OK,673,673
265,1520439655302373639,OK,673,673
266,1520439655352374639,OK,673,673
267,1520439655402376639,OK,673,673
268,1520439655452307622,OK,673,673
269,1520439655502308622,OK,673,673
270,1520439655552310622,OK,673,673
271,1520439655602311622,OK,673,673
272,1520439655652313622,OK,673,673
273,1520439655702314622,OK,673,667
274,1520439655752316622,OK,667,667
275,1520439655802317622,OK,667,663
276,1520439655852339130,OK,663,661
277,1520439655902341130,OK,661,660
278,1520439655952343130,OK,660,655
279,1520439656002344130,OK,655,655
280,1520439656052346130,OK,655,655
281,1520439656102348130,OK,655,655
282,1520439656152349130,OK,655,655
283,1520439656202351130,OK,655,655
284,1520439656252373815,OK,655,655
285,1520439656302374815,OK,655,655
286,1520439656352376815,OK,655,655
287,1520439656402379815,OK,655,655
288,1520439656452379815,OK,655,655
289,1520439656502381815,OK,655,655
290,1520439656552382815,OK,655,655
291,1520439656602487815,OK,655,655
292,1520439656652278657,OK,655,655
293,1520439656702280657,OK,655,655
294,1520439656752281657,OK,655,655
295,1520439656802283657,OK,655,655
296,1520439656852284657,OK,655,655
297,1520439656902286657,OK,655,655
298,1520439656952287657,OK,655,655
299,1520439657002289657,OK,655,655
300,1520439657052304920,OK,655,655
301,1520439657102305920,OK,655,655
302,1520439657152307920,OK,655,655
303,1520439657202308920,OK,655,655
304,1520439657252310920,OK,655,655
305,1520439657302311920,OK,655,655
306,1520439657352313920,OK,655,655
307,1520439657402314920,OK,655,655
308,1520439657452414885,OK,655,655
309,1520439657502416885,POSE_FAIL,655,0
310,1520439657552418885,OK,655,655
311,1520439657602419885,POSE_FAIL,655,0
312,1520439657652421885,OK,655,655
313,1520439657702422885,OK,655,655
