# timestamp tx ty tz qx qy qz qw
1520439642.052073717 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1520439642.102074623 0.003882129 0.002069479 -0.000476731 -0.000829401 0.000714759 0.000732334 0.999999132
1520439642.152076483 0.008146625 0.004885631 -0.001085381 -0.002437097 0.001195723 -0.000038998 0.999996315
1520439642.202077627 0.012736752 0.007773516 -0.001209997 -0.004211834 0.002269107 -0.001524528 0.999987394
1520439642.252079725 0.018818513 0.010511694 -0.000938571 -0.005367940 0.003725979 -0.002848846 0.999974593
1520439642.302081585 0.025063112 0.013447614 -0.000771638 -0.006933176 0.005357319 -0.002881053 0.999957464
1520439642.352087021 0.031590209 0.014602361 -0.000956866 -0.009520370 0.006044942 -0.002036584 0.999934335
1520439642.402089119 0.040461758 0.016286041 -0.001194774 -0.010258577 0.006756443 -0.002234077 0.999922057
1520439642.452090025 0.051326607 0.017702678 -0.001007894 -0.009144283 0.008039421 -0.002083763 0.999923701
1520439642.502092123 0.063785225 0.017471488 0.000154155 -0.010321377 0.011075028 0.001220226 0.999884655
1520439642.552093267 0.077579536 0.016103925 0.001033550 -0.011183817 0.012804403 0.004090325 0.999847108
1520439642.602095127 0.092530673 0.013948307 0.001392865 -0.008893556 0.012062041 0.004808276 0.999876138
1520439642.652096987 0.109923940 0.011330793 0.002552117 -0.005294518 0.012586225 0.003599663 0.999900294
1520439642.702098131 0.127896997 0.008325482 0.003134079 -0.003646260 0.011320606 0.001748991 0.999927742
1520439642.752133369 0.145988625 0.005237025 0.002910609 -0.002471911 0.008108949 0.000397718 0.999963988
1520439642.802134514 0.164908550 0.002983458 0.002459387 -0.001044137 0.004146006 -0.001765815 0.999989301
1520439642.852136374 0.186395693 0.000594283 0.001843050 0.000260398 0.000642051 -0.005297168 0.999985730
1520439642.902137280 0.208594102 -0.001016549 0.001654155 0.000170299 -0.001189827 -0.010306381 0.999946165
1520439642.952139616 0.231613301 -0.002237391 0.001606768 -0.001279616 -0.001681982 -0.014963456 0.999885808
1520439643.002140522 0.255364117 -0.002490026 0.001342410 -0.003573351 -0.000811976 -0.016007175 0.999865162
1520439643.052142382 0.279320934 -0.003714932 0.001189676 -0.008252233 0.000296038 -0.015936835 0.999838902
1520439643.102144480 0.303614998 -0.004793883 0.002096307 -0.008848537 -0.000494417 -0.015709990 0.999837314
1520439643.152131319 0.326307881 -0.007914467 0.004271799 -0.005839663 -0.000074472 -0.016464105 0.999847401
1520439643.202132463 0.348848038 -0.010157166 0.007451525 -0.004770409 0.000463822 -0.017195999 0.999840650
1520439643.252134323 0.371175829 -0.012774393 0.011521134 -0.005184774 0.002660644 -0.015967512 0.999855528
1520439643.302135229 0.393973202 -0.014901954 0.017921148 -0.003902629 0.006686291 -0.012971918 0.999885890
1520439643.352137566 0.416373270 -0.017529170 0.025622238 -0.002280697 0.011197268 -0.009737193 0.999887297
1520439643.402138472 0.438740878 -0.019567272 0.034071489 -0.001119803 0.015046771 -0.006568662 0.999864588
1520439643.452140331 0.460714127 -0.021499857 0.042878469 0.000573601 0.017288883 -0.004360212 0.999840864
