frame_idx,timestamp_ns,status,n_matched,n_inliers,reproj_rmse_px,step_rot_deg,step_trans_m
0,1520439642052073604,INIT,1585,0,,,
1,1520439642102074604,OK,1568,1550,0.3305,0.1509,0.0044
2,1520439642152076604,OK,1569,1555,0.3309,0.2116,0.0051
3,1520439642202077604,OK,1565,1545,0.3098,0.2923,0.0054
4,1520439642252079604,OK,1572,1537,0.3643,0.2616,0.0067
5,1520439642302081604,OK,1584,1557,0.3633,0.2591,0.0069
6,1520439642352087095,OK,1561,1534,0.3528,0.3217,0.0066
7,1520439642402089095,OK,1569,1527,0.3228,0.1197,0.0090
8,1520439642452090095,OK,1555,1531,0.3576,0.1955,0.0110
9,1520439642502092095,OK,1583,1558,0.3772,0.5316,0.0125
10,1520439642552093095,OK,1565,1545,0.3330,0.3965,0.0139
11,1520439642602095095,OK,1559,1513,0.3516,0.2879,0.0151
12,1520439642652097095,OK,1584,1564,0.3871,0.4392,0.0176
13,1520439642702098095,OK,1584,1569,0.4003,0.3189,0.0182
14,1520439642752133429,OK,1603,1565,0.3356,0.4214,0.0184
15,1520439642802134429,OK,1606,1571,0.3710,0.5426,0.0191
16,1520439642852136429,OK,1602,1574,0.3714,0.5893,0.0216
17,1520439642902137429,OK,1603,1571,0.4238,0.6113,0.0223
18,1520439642952139429,OK,1579,1543,0.3735,0.5618,0.0231
19,1520439643002140429,OK,1586,1555,0.4019,0.3055,0.0238
20,1520439643052142429,OK,1568,1540,0.4305,0.5511,0.0240
21,1520439643102144429,OK,1548,1523,0.3744,0.1164,0.0243
22,1520439643152131411,OK,1569,1540,0.3924,0.3587,0.0230
23,1520439643202132411,OK,1527,1492,0.3879,0.1608,0.0229
24,1520439643252134411,OK,1539,1490,0.3650,0.2923,0.0228
25,1520439643302135411,OK,1535,1492,0.3707,0.5935,0.0238
26,1520439643352137411,OK,1551,1496,0.4146,0.6627,0.0238
27,1520439643402138411,OK,1573,1526,0.3882,0.5866,0.0240
28,1520439643452140411,OK,1538,1490,0.4011,0.4095,0.0238
29,1520439643502142411,OK,1564,1529,0.4046,0.2104,0.0231
30,1520439643552162569,OK,1583,1545,0.4146,0.1277,0.0248
31,1520439643602163569,OK,1602,1568,0.4135,0.2865,0.0252
32,1520439643652165569,OK,1568,1532,0.4048,0.4298,0.0265
33,1520439643702167569,OK,1551,1507,0.4826,0.3745,0.0283
34,1520439643752168569,OK,1548,1470,0.4340,0.3826,0.0270
35,1520439643802170569,OK,1470,1413,0.4191,0.9037,0.0280
36,1520439643852171569,OK,1491,1453,0.4717,0.9471,0.0279
37,1520439643902173569,OK,1504,1470,0.4599,0.2672,0.0270
38,1520439643952174569,OK,1479,1430,0.4621,0.3093,0.0274
39,1520439644002180779,OK,1484,1441,0.4371,0.3436,0.0270
40,1520439644052181779,OK,1512,1473,0.4862,0.3431,0.0268
41,1520439644102183779,OK,1503,1412,0.4752,0.1360,0.0264
42,1520439644152184779,OK,1525,1488,0.4185,0.1944,0.0270
43,1520439644202186779,OK,1509,1430,0.5282,0.2515,0.0288
44,1520439644252188779,OK,1559,1497,0.4221,0.3801,0.0290
45,1520439644302189779,OK,1512,1447,0.4913,0.4654,0.0306
46,1520439644352191779,OK,1511,1453,0.4567,0.4847,0.0301
47,1520439644402186604,OK,1533,1505,0.4435,0.4206,0.0315
48,1520439644452188604,OK,1499,1412,0.5806,0.9758,0.0318
49,1520439644502189604,OK,1480,1364,0.4541,0.5758,0.0294
50,1520439644552191604,OK,1513,1454,0.5502,0.3264,0.0292
51,1520439644602192604,OK,1471,1403,0.4778,0.6111,0.0259
52,1520439644652194604,OK,1481,1415,0.4528,0.6983,0.0237
53,1520439644702196604,OK,1501,1453,0.4818,0.5447,0.0218
54,1520439644752197604,OK,1479,1423,0.4514,0.6634,0.0192
55,1520439644802232727,OK,1500,1417,0.4761,0.6269,0.0159
56,1520439644852233727,OK,1516,1450,0.4554,0.5158,0.0109
57,1520439644902235727,OK,1522,1500,0.4061,0.4068,0.0056
58,1520439644952237727,OK,1522,1499,0.4099,0.3056,0.0018
59,1520439645002238727,OK,1502,1463,0.4331,0.3887,0.0048
60,1520439645052240727,OK,1512,1474,0.4562,0.3105,0.0091
61,1520439645102242727,OK,1486,1437,0.4446,0.3044,0.0132
62,1520439645152245727,OK,1528,1489,0.3961,0.2961,0.0172
63,1520439645202271323,OK,1510,1471,0.4656,0.3836,0.0204
64,1520439645252273323,OK,1495,1449,0.4759,0.5511,0.0234
65,1520439645302275323,OK,1501,1445,0.4846,0.6037,0.0262
66,1520439645352376323,OK,1541,1497,0.4544,0.6803,0.0260
67,1520439645402278323,OK,1520,1497,0.4454,0.6902,0.0280
68,1520439645452279323,OK,1538,1501,0.4891,0.4109,0.0295
69,1520439645502281323,OK,1556,1516,0.4951,0.1925,0.0323
70,1520439645552282323,OK,1500,1463,0.4890,0.1562,0.0347
71,1520439645602247692,OK,1473,1399,0.4661,0.5055,0.0365
72,1520439645652248692,OK,1474,1429,0.5353,0.8719,0.0381
73,1520439645702250692,OK,1499,1452,0.5609,0.7669,0.0380
74,1520439645752251692,OK,1516,1476,0.4984,0.8620,0.0387
75,1520439645802253692,OK,1530,1488,0.5078,0.8331,0.0389
76,1520439645852255692,OK,1508,1446,0.5109,0.7379,0.0389
77,1520439645902256692,OK,1416,1361,0.4745,1.3615,0.0412
78,1520439645952258692,OK,1438,1380,0.4858,1.7124,0.0430
79,1520439646002280674,OK,1380,1317,0.5279,1.8004,0.0456
80,1520439646052282674,OK,1391,1323,0.5155,1.5521,0.0484
81,1520439646102283674,OK,1376,1309,0.5330,1.2004,0.0493
82,1520439646152285674,OK,1391,1339,0.4708,1.2441,0.0499
83,1520439646202287674,OK,1426,1348,0.4686,0.9623,0.0500
84,1520439646252288674,OK,1437,1388,0.4629,0.9455,0.0502
85,1520439646302291674,OK,1431,1378,0.5310,1.1812,0.0502
86,1520439646352291674,OK,1440,1376,0.4866,1.1925,0.0493
87,1520439646402293674,OK,1424,1371,0.4681,1.3933,0.0497
88,1520439646452177779,OK,1403,1365,0.4499,1.0894,0.0493
89,1520439646502178779,OK,1423,1338,0.3839,0.6661,0.0494
90,1520439646552180779,OK,1426,1386,0.4962,0.5398,0.0482
91,1520439646602181779,OK,1475,1390,0.4659,0.4261,0.0483
92,1520439646652183779,OK,1475,1410,0.4464,0.5576,0.0492
93,1520439646702184779,OK,1447,1383,0.4435,0.8722,0.0494
94,1520439646752186779,OK,1407,1343,0.4343,1.3041,0.0518
95,1520439646802188779,OK,1501,1416,0.4591,1.1476,0.0527
96,1520439646852161130,OK,1474,1396,0.4901,0.7993,0.0515
97,1520439646902159130,OK,1455,1387,0.4327,0.6761,0.0502
98,1520439646952245130,OK,1453,1381,0.4726,0.4872,0.0502
99,1520439647002163130,OK,1494,1444,0.4620,0.7625,0.0478
100,1520439647052164130,OK,1530,1464,0.4729,0.5709,0.0462
101,1520439647102166130,OK,1567,1515,0.4516,0.6591,0.0458
102,1520439647152167130,OK,1595,1536,0.4330,0.6639,0.0465
103,1520439647202169130,OK,1625,1576,0.4073,0.4416,0.0451
104,1520439647252142411,OK,1573,1511,0.4182,0.4845,0.0449
105,1520439647302144411,OK,1602,1516,0.3730,0.9085,0.0440
106,1520439647352145411,OK,1618,1556,0.4218,0.9813,0.0416
107,1520439647402147411,OK,1705,1646,0.3832,0.3905,0.0394
108,1520439647452149411,OK,1704,1655,0.3839,0.6615,0.0389
109,1520439647502150411,OK,1715,1630,0.4234,0.9082,0.0364
110,1520439647552152411,OK,1725,1662,0.3661,0.9087,0.0341
111,1520439647602154411,OK,1785,1758,0.3620,0.2594,0.0312
112,1520439647652149025,OK,1790,1750,0.3527,0.5423,0.0284
113,1520439647702150025,OK,1801,1766,0.3438,0.8010,0.0263
114,1520439647752152025,OK,1791,1749,0.3367,0.6327,0.0249
115,1520439647802154025,OK,1807,1766,0.3792,0.2514,0.0245
116,1520439647852155025,OK,1798,1773,0.3266,0.3877,0.0236
117,1520439647902157025,OK,1822,1774,0.3085,0.1166,0.0228
118,1520439647952159025,OK,1845,1820,0.3516,0.4736,0.0193
119,1520439648002161025,OK,1846,1809,0.3473,0.5756,0.0173
120,1520439648052156271,OK,1843,1823,0.3646,0.6081,0.0162
121,1520439648102158271,OK,1838,1804,0.3513,0.5862,0.0136
122,1520439648152159271,OK,1836,1806,0.4140,0.4307,0.0118
123,1520439648202161271,OK,1832,1805,0.3942,0.5009,0.0109
124,1520439648252162271,OK,1875,1849,0.3011,0.5754,0.0135
125,1520439648302163271,OK,1859,1826,0.3115,0.4571,0.0169
126,1520439648352166271,OK,1840,1796,0.3819,0.3258,0.0226
127,1520439648402167271,OK,1836,1766,0.3427,0.3494,0.0285
128,1520439648452177394,OK,1817,1767,0.4033,0.3716,0.0314
129,1520439648502178394,OK,1824,1780,0.4009,0.6320,0.0344
130,1520439648552243394,OK,1793,1729,0.3664,0.8601,0.0379
131,1520439648602182394,OK,1806,1753,0.3954,0.7123,0.0390
132,1520439648652183394,OK,1789,1748,0.3864,0.6414,0.0403
133,1520439648702185394,OK,1756,1721,0.3710,0.8169,0.0394
134,1520439648752186394,OK,1746,1680,0.3700,1.2235,0.0395
135,1520439648802188394,OK,1769,1685,0.4030,1.3171,0.0387
136,1520439648852189394,OK,1764,1713,0.4078,1.0269,0.0395
137,1520439648902203183,OK,1700,1653,0.3972,1.1403,0.0407
138,1520439648952204183,OK,1614,1573,0.3986,1.1464,0.0422
139,1520439649002206183,OK,1671,1608,0.4221,0.9943,0.0437
140,1520439649052208183,OK,1612,1564,0.3915,1.0285,0.0456
141,1520439649102209183,OK,1616,1546,0.4604,0.8145,0.0471
142,1520439649152211183,OK,1530,1471,0.4374,0.9650,0.0472
143,1520439649202212183,OK,1484,1415,0.4741,1.5804,0.0499
144,1520439649252214183,OK,1447,1361,0.4764,1.3849,0.0496
145,1520439649302214201,OK,1420,1347,0.4697,1.2592,0.0483
146,1520439649352216201,OK,1428,1344,0.4510,0.9087,0.0488
147,1520439649402217201,OK,1434,1348,0.4373,0.9932,0.0498
148,1520439649452219201,OK,1431,1341,0.4637,0.9997,0.0511
149,1520439649502221201,OK,1441,1338,0.4660,0.8942,0.0526
150,1520439649552222201,OK,1428,1339,0.4641,0.8038,0.0526
151,1520439649602224201,OK,1412,1316,0.4605,0.4005,0.0526
152,1520439649652225201,OK,1490,1423,0.4902,0.2218,0.0495
153,1520439649702198148,OK,1486,1388,0.4910,0.8768,0.0511
154,1520439649752200148,OK,1469,1390,0.4707,0.4905,0.0503
155,1520439649802202148,OK,1461,1377,0.4783,0.6224,0.0483
156,1520439649852203148,OK,1455,1369,0.5495,0.4035,0.0475
157,1520439649902204148,OK,1410,1320,0.4702,0.4961,0.0467
158,1520439649952206148,OK,1442,1366,0.4894,0.6348,0.0472
159,1520439650002207148,OK,1438,1378,0.4961,0.5658,0.0466
160,1520439650052209148,OK,1395,1315,0.4724,0.4805,0.0465
161,1520439650102240464,OK,1384,1298,0.4836,0.4877,0.0453
162,1520439650152286464,OK,1394,1314,0.4763,0.5390,0.0457
163,1520439650202244464,OK,1399,1312,0.5224,0.6372,0.0458
164,1520439650252245464,OK,1434,1341,0.5185,0.7733,0.0456
165,1520439650302247464,OK,1480,1408,0.5273,1.0599,0.0432
166,1520439650352248464,OK,1489,1387,0.5395,1.0570,0.0439
167,1520439650402250464,OK,1391,1297,0.5168,0.4647,0.0435
168,1520439650452251464,OK,1396,1313,0.5213,0.5727,0.0401
169,1520439650502337744,OK,1433,1295,0.5502,0.3270,0.0376
170,1520439650552339744,OK,1473,1378,0.5301,0.3170,0.0358
171,1520439650602340744,OK,1484,1404,0.5463,0.3059,0.0351
172,1520439650652342744,OK,1462,1368,0.5429,0.5817,0.0325
173,1520439650702343744,OK,1511,1417,0.5443,0.7931,0.0314
174,1520439650752345744,OK,1493,1426,0.5593,0.7105,0.0301
175,1520439650802346744,OK,1478,1340,0.4988,0.8243,0.0306
176,1520439650852348744,OK,1415,1302,0.5470,1.2449,0.0293
