frame_idx,timestamp_ns,status,n_tracked,n_inliers
0,1520530731400018325,INIT,2000,0
1,1520530731450020325,OK,1999,1859
2,1520530731500021325,OK,1859,1803
3,1520530731550009922,POSE_FAIL,1803,0
4,1520530731600010922,OK,1803,1789
5,1520530731650011922,POSE_FAIL,1789,0
6,1520530731700013922,POSE_FAIL,1789,0
7,1520530731750015922,POSE_FAIL,1789,0
8,1520530731800016922,OK,1789,1786
9,1520530731850101922,POSE_FAIL,1786,0
10,1520530731900019922,POSE_FAIL,1786,0
11,1520530731950036027,POSE_FAIL,1786,0
12,1520530732000037027,OK,1786,1753
13,1520530732050039027,POSE_FAIL,1753,0
14,1520530732100040027,OK,1753,1714
15,1520530732150042027,OK,1714,1706
16,1520530732200044027,OK,1706,1700
17,1520530732250045027,OK,1700,1697
18,1520530732300047027,POSE_FAIL,1697,0
19,1520530732350048027,POSE_FAIL,1697,0
20,1520530732400058378,POSE_FAIL,1697,0
21,1520530732450059378,POSE_FAIL,1697,0
22,1520530732500061378,POSE_FAIL,1697,0
23,1520530732550063378,OK,1697,1694
24,1520530732600064378,POSE_FAIL,1694,0
25,1520530732650066378,OK,1694,1683
26,1520530732700067378,POSE_FAIL,1683,0
27,1520530732750069378,POSE_FAIL,1683,0
28,1520530732800092992,OK,1683,1679
29,1520530732850093992,POSE_FAIL,1679,0
30,1520530732900095992,POSE_FAIL,1679,0
31,1520530732950096992,POSE_FAIL,1679,0
32,1520530733000098992,POSE_FAIL,1679,0
33,1520530733050099992,POSE_FAIL,1679,0
34,1520530733100101992,POSE_FAIL,1679,0
35,1520530733150103992,POSE_FAIL,1679,0
36,1520530733200103799,POSE_FAIL,1679,0
37,1520530733250105799,POSE_FAIL,1679,0
38,1520530733300106799,POSE_FAIL,1679,0
39,1520530733350112799,POSE_FAIL,1679,0
40,1520530733400109799,POSE_FAIL,1679,0
41,1520530733450195799,OK,1679,1662
42,1520530733500112799,POSE_FAIL,1662,0
43,1520530733550114799,POSE_FAIL,1662,0
44,1520530733600102536,POSE_FAIL,1662,0
45,1520530733650104536,POSE_FAIL,1662,0
46,1520530733700105536,POSE_FAIL,1662,0
47,1520530733750107536,POSE_FAIL,1662,0
48,1520530733800109536,POSE_FAIL,1662,0
49,1520530733850110536,POSE_FAIL,1662,0
50,1520530733900112536,POSE_FAIL,1662,0
51,1520530733950113536,POSE_FAIL,1662,0
52,1520530734000144799,POSE_FAIL,1662,0
53,1520530734050145799,POSE_FAIL,1662,0
54,1520530734100147799,POSE_FAIL,1662,0
55,1520530734150148799,POSE_FAIL,1662,0
56,1520530734200150799,POSE_FAIL,1662,0
57,1520530734250152799,POSE_FAIL,1662,0
58,1520530734300153799,POSE_FAIL,1662,0
59,1520530734350155799,POSE_FAIL,1662,0
60,1520530734400153167,POSE_FAIL,1662,0
61,1520530734450154167,POSE_FAIL,1662,0
62,1520530734500156167,POSE_FAIL,1662,0
63,1520530734550158167,POSE_FAIL,1662,0
64,1520530734600159167,POSE_FAIL,1662,0
65,1520530734650161167,POSE_FAIL,1662,0
66,1520530734700162167,POSE_FAIL,1662,0
67,1520530734750163167,POSE_FAIL,1662,0
68,1520530734800165167,POSE_FAIL,1662,0
69,1520530734850171518,POSE_FAIL,1662,0
70,1520530734900172518,POSE_FAIL,1662,0
71,1520530734950177518,POSE_FAIL,1662,0
72,1520530735000175518,POSE_FAIL,1662,0
73,1520530735050265518,POSE_FAIL,1662,0
74,1520530735100178518,POSE_FAIL,1662,0
75,1520530735150180518,POSE_FAIL,1662,0
76,1520530735200181518,POSE_FAIL,1662,0
77,1520530735250203097,POSE_FAIL,1662,0
78,1520530735300204097,POSE_FAIL,1662,0
79,1520530735350206097,POSE_FAIL,1662,0
80,1520530735400208097,POSE_FAIL,1662,0
81,1520530735450209097,POSE_FAIL,1662,0
82,1520530735500211097,POSE_FAIL,1662,0
83,1520530735550212097,POSE_FAIL,1662,0
84,1520530735600214097,POSE_FAIL,1662,0
85,1520530735650176290,POSE_FAIL,1662,0
86,1520530735700178290,POSE_FAIL,1662,0
87,1520530735750179290,POSE_FAIL,1662,0
88,1520530735800181290,POSE_FAIL,1662,0
89,1520530735850183290,OK,1662,1619
90,1520530735900184290,OK,1619,1561
91,1520530735950186290,OK,1561,1488
92,1520530736000188290,OK,1488,1455
93,1520530736050192045,OK,1453,1436
94,1520530736100193045,OK,1434,1424
95,1520530736150194045,OK,1424,1412
96,1520530736200196045,OK,1412,1393
97,1520530736250198045,OK,1393,1377
98,1520530736300199045,OK,1376,1357
99,1520530736350200045,OK,1356,1351
100,1520530736400202045,OK,1351,1334
101,1520530736450247764,OK,1332,1323
102,1520530736500248764,OK,1323,1312
103,1520530736550254764,OK,1309,1225
104,1520530736600251764,OK,1225,1203
105,1520530736650343764,OK,1203,1194
106,1520530736700254764,OK,1193,1149
107,1520530736750256764,OK,1149,1135
108,1520530736800257764,OK,1135,1086
109,1520530736850259764,OK,1086,1064
110,1520530736900250167,OK,1064,1064
111,1520530736950252167,OK,1064,1057
112,1520530737000254167,OK,1057,1055
113,1520530737050255167,OK,1055,1044
114,1520530737100257167,OK,1044,1041
115,1520530737150258167,OK,1041,1015
116,1520530737200260167,OK,1015,1013
117,1520530737250261167,OK,1013,1010
118,1520530737300258817,OK,1010,1002
119,1520530737350260817,OK,1002,994
120,1520530737400261817,OK,994,983
121,1520530737450263817,POSE_FAIL,983,0
122,1520530737500264817,POSE_FAIL,983,0
123,1520530737550266817,POSE_FAIL,983,0
124,1520530737600268817,OK,983,978
125,1520530737650269817,OK,978,976
126,1520530737700183185,OK,976,961
127,1520530737750184185,OK,961,923
128,1520530737800186185,OK,923,922
129,1520530737850187185,OK,922,921
130,1520530737900189185,OK,921,921
131,1520530737950191185,OK,921,877
132,1520530738000192185,OK,877,876
133,1520530738050194185,OK,876,873
134,1520530738100307676,OK,873,860
135,1520530738150314676,OK,860,827
136,1520530738200310676,OK,827,827
137,1520530738250403676,OK,827,827
138,1520530738300313676,OK,827,827
139,1520530738350315676,OK,827,827
140,1520530738400316676,OK,827,824
141,1520530738450318676,OK,824,819
142,1520530738500566992,OK,819,811
143,1520530738550567992,OK,811,808
144,1520530738600569992,OK,808,808
145,1520530738650570992,OK,808,806
146,1520530738700572992,OK,806,805
147,1520530738750573992,OK,805,805
148,1520530738800575992,OK,805,805
149,1520530738850576992,OK,805,803
150,1520530738900221518,OK,803,802
151,1520530738950223518,OK,802,802
152,1520530739000224518,OK,802,802
153,1520530739050226518,OK,802,802
154,1520530739100227518,OK,802,792
155,1520530739150229518,OK,792,785
156,1520530739200231518,OK,785,785
157,1520530739250232518,OK,785,777
158,1520530739300234518,OK,777,777
159,1520530739350118606,OK,777,777
160,1520530739400120606,OK,777,777
161,1520530739450122606,OK,777,775
162,1520530739500123606,OK,775,775
163,1520530739550125606,OK,775,775
164,1520530739600126606,OK,775,772
165,1520530739650128606,OK,772,770
166,1520530739700129606,OK,770,770
167,1520530739750311027,OK,770,770
168,1520530739800313027,OK,770,770
169,1520530739850406027,POSE_FAIL,770,0
170,1520530739900316027,OK,770,769
171,1520530739950318027,OK,769,762
172,1520530740000319027,OK,762,760
173,1520530740050321027,OK,760,725
174,1520530740100322027,OK,725,724
175,1520530740150481220,OK,724,724
176,1520530740200483220,OK,724,719
177,1520530740250484220,OK,719,719
178,1520530740300486220,POSE_FAIL,719,0
179,1520530740350487220,OK,719,719
180,1520530740400489220,POSE_FAIL,719,0
181,1520530740450490220,OK,719,719
182,1520530740500492220,POSE_FAIL,719,0
183,1520530740550278062,OK,719,718
184,1520530740600280062,POSE_FAIL,718,0
185,1520530740650282062,OK,718,718
186,1520530740700283062,OK,718,718
187,1520530740750285062,OK,718,718
188,1520530740800287062,OK,718,717
189,1520530740850288062,OK,717,717
190,1520530740900290062,OK,717,717
191,1520530740950431641,OK,717,717
192,1520530741000432641,OK,717,717
193,1520530741050434641,OK,717,716
194,1520530741100435641,OK,716,716
195,1520530741150437641,OK,716,715
196,1520530741200438641,OK,715,714
197,1520530741250440641,OK,714,713
198,1520530741300441641,OK,713,711
199,1520530741350637115,OK,711,711
200,1520530741400638115,OK,711,711
201,1520530741450728115,OK,711,711
202,1520530741500641115,POSE_FAIL,711,0
203,1520530741550643115,OK,711,711
204,1520530741600644115,OK,711,711
205,1520530741650646115,OK,711,711
206,1520530741700647115,POSE_FAIL,711,0
207,1520530741750649115,OK,711,711
208,1520530741800464167,OK,711,711
209,1520530741850465167,POSE_FAIL,711,0
210,1520530741900467167,POSE_FAIL,711,0
211,1520530741950468167,OK,711,711
212,1520530742000470167,OK,711,711
213,1520530742050471167,OK,711,710
