# timestamp tx ty tz qx qy qz qw
1520530731.400018454 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1520530731.450020313 -0.001958879 -0.004004981 -0.000397006 -0.001337501 0.000814075 0.003583609 0.999992353
1520530731.500021219 0.000188835 -0.000545455 0.000245786 -0.004258193 0.003881613 0.007101879 0.999958181
1520530731.550009966 0.000542700 0.000388922 0.000430717 -0.008612474 0.006593530 0.010175710 0.999889397
1520530731.600011110 0.000564216 0.000991850 0.001222711 -0.010871688 0.007970106 0.012290893 0.999833595
1520530731.650012016 -0.000157224 0.000451838 0.001311505 -0.009927826 0.006753610 0.014234171 0.999826593
1520530731.700013876 -0.001099467 0.000150413 0.001208923 -0.007179112 0.004147074 0.014487322 0.999860680
1520530731.750015974 -0.002932856 0.000010229 0.000821190 -0.004221722 0.001533440 0.013793630 0.999894775
1520530731.800016880 -0.003278946 0.001688815 0.000922142 -0.003698144 0.000075789 0.012216296 0.999918537
1520530731.850101948 -0.001510071 0.003253389 0.001705734 -0.004470342 0.002367802 0.010047216 0.999936730
1520530731.900019884 0.001131012 0.004984074 0.003397221 -0.004846251 0.007813836 0.008776680 0.999919211
1520530731.950036049 0.005323735 0.003882597 0.006868321 -0.003991263 0.016807147 0.008012117 0.999818681
1520530732.000037193 0.006111591 0.004831419 0.009188847 -0.003178667 0.019492013 0.011738209 0.999736051
1520530732.050039053 0.003627526 0.006441591 0.007243770 -0.007335326 0.015671743 0.013894427 0.999753737
1520530732.100039959 0.001683668 0.006806901 0.004832249 -0.012007696 0.013284651 0.014853705 0.999729314
1520530732.150042057 0.000741563 0.005806680 0.003922246 -0.012305001 0.013456283 0.016604467 0.999695857
1520530732.200043917 -0.000149390 0.004871298 0.002600150 -0.012112437 0.012626581 0.017011437 0.999702190
1520530732.250044823 -0.001053501 0.005322128 0.001576398 -0.011081896 0.013127020 0.013102495 0.999766572
1520530732.300047159 -0.001867069 0.004502187 -0.000244619 -0.010458671 0.010555069 0.011205726 0.999826804
1520530732.350048065 -0.002162904 0.004713735 -0.001949459 -0.012876180 0.009810932 0.010748559 0.999811191
1520530732.400058270 -0.002502607 0.005284533 -0.003569562 -0.016345129 0.011119190 0.011842342 0.999734444
1520530732.450059175 -0.002634700 0.005837767 -0.005789911 -0.020278305 0.011358272 0.013864429 0.999633712
1520530732.500061512 -0.003150000 0.006906096 -0.007603969 -0.022833572 0.012541394 0.015648916 0.999538120
1520530732.550063372 -0.004230910 0.005147158 -0.009733806 -0.022341420 0.011772303 0.020465251 0.999471584
1520530732.600064278 -0.004946122 0.003355367 -0.012143147 -0.022199899 0.009750680 0.025562355 0.999379135
1520530732.650066376 -0.005492345 0.003619305 -0.013777167 -0.021461842 0.008963677 0.026537443 0.999377209
1520530732.700067282 -0.005474179 0.002783301 -0.015236648 -0.021161654 0.009481201 0.025752417 0.999399372
1520530732.750069618 -0.006522101 0.001503543 -0.016807618 -0.020491043 0.008521439 0.024444440 0.999454837
1520530732.800092936 -0.007544085 -0.000282421 -0.018366346 -0.020161971 0.006654138 0.021404508 0.999545429
1520530732.850094080 -0.008050364 -0.000094404 -0.019202963 -0.020484476 0.006211139 0.018281317 0.999603722
1520530732.900095940 -0.010123565 0.000097604 -0.020002244 -0.021594639 0.005174598 0.017273747 0.999604178
1520530732.950096846 -0.011199935 0.000441979 -0.020665995 -0.023565575 0.005075044 0.017921244 0.999548767
1520530733.000099182 -0.012045108 -0.001474921 -0.021583172 -0.024819001 0.003988211 0.017964505 0.999522580
1520530733.050099850 -0.013168154 -0.001216002 -0.022409671 -0.023019050 0.002125901 0.017530513 0.999579054
