frame_idx,timestamp_ns,status,n_matched,n_inliers,reproj_rmse_px,step_rot_deg,step_trans_m
0,1520530731400018325,INIT,1812,0,,,
1,1520530731450020325,OK,1771,1660,0.4689,0.4481,0.0045
2,1520530731500021325,OK,1673,1565,0.3603,0.6310,0.0041
3,1520530731550009922,OK,1627,1541,0.3988,0.6853,0.0010
4,1520530731600010922,OK,1603,1515,0.3785,0.3882,0.0010
5,1520530731650011922,OK,1588,1512,0.3894,0.2841,0.0009
6,1520530731700013922,OK,1572,1507,0.3490,0.4351,0.0010
7,1520530731750015922,OK,1566,1511,0.3373,0.4592,0.0019
8,1520530731800016922,OK,1553,1489,0.3192,0.2533,0.0017
9,1520530731850101922,OK,1546,1496,0.3263,0.3723,0.0025
10,1520530731900019922,OK,1535,1479,0.3049,0.6423,0.0036
11,1520530731950036027,OK,1517,1468,0.3636,1.0390,0.0056
12,1520530732000037027,OK,1514,1468,0.3769,0.5345,0.0026
13,1520530732050039027,OK,1500,1455,0.3697,0.6925,0.0035
14,1520530732100040027,OK,1498,1454,0.3672,0.6112,0.0031
15,1520530732150042027,OK,1498,1451,0.3858,0.2045,0.0016
16,1520530732200044027,OK,1496,1427,0.3713,0.1082,0.0018
17,1520530732250045027,OK,1490,1445,0.3500,0.4668,0.0014
18,1520530732300047027,OK,1489,1444,0.3244,0.3732,0.0022
19,1520530732350048027,OK,1488,1449,0.3578,0.2946,0.0017
20,1520530732400058378,OK,1482,1446,0.3691,0.4430,0.0018
21,1520530732450059378,OK,1475,1435,0.3916,0.5077,0.0023
22,1520530732500061378,OK,1474,1433,0.4200,0.3822,0.0022
23,1520530732550063378,OK,1470,1430,0.4276,0.5618,0.0030
24,1520530732600064378,OK,1467,1434,0.4714,0.6286,0.0031
25,1520530732650066378,OK,1465,1395,0.4302,0.1666,0.0017
26,1520530732700067378,OK,1465,1400,0.4301,0.1131,0.0017
27,1520530732750069378,OK,1465,1416,0.4377,0.2013,0.0023
28,1520530732800092992,OK,1464,1418,0.4286,0.4107,0.0026
29,1520530732850093992,OK,1464,1425,0.4211,0.3634,0.0010
30,1520530732900095992,OK,1463,1416,0.4201,0.2089,0.0022
31,1520530732950096992,OK,1463,1412,0.4458,0.2381,0.0013
32,1520530733000098992,OK,1462,1392,0.4834,0.1902,0.0023
33,1520530733050099992,OK,1461,1393,0.4429,0.3010,0.0014
34,1520530733100101992,OK,1461,1419,0.4300,0.2895,0.0028
35,1520530733150103992,OK,1461,1418,0.4442,0.2335,0.0023
36,1520530733200103799,OK,1461,1401,0.4361,0.3184,0.0021
37,1520530733250105799,OK,1459,1405,0.4122,0.3595,0.0016
38,1520530733300106799,OK,1457,1399,0.4249,0.3077,0.0012
39,1520530733350112799,OK,1457,1395,0.4259,0.2032,0.0018
40,1520530733400109799,OK,1457,1412,0.4307,0.2450,0.0040
41,1520530733450195799,OK,1457,1410,0.4422,0.6003,0.0027
42,1520530733500112799,OK,1457,1409,0.4768,0.9132,0.0050
43,1520530733550114799,OK,1452,1386,0.5042,1.0565,0.0055
44,1520530733600102536,OK,1451,1395,0.5591,0.7493,0.0020
45,1520530733650104536,OK,1451,1394,0.5438,0.1233,0.0011
46,1520530733700105536,OK,1449,1390,0.5052,0.8715,0.0042
47,1520530733750107536,OK,1446,1408,0.4826,1.1004,0.0030
48,1520530733800109536,OK,1444,1381,0.4636,0.6615,0.0029
49,1520530733850110536,OK,1444,1391,0.4733,0.1837,0.0008
50,1520530733900112536,OK,1444,1392,0.4914,0.6117,0.0011
51,1520530733950113536,OK,1444,1380,0.4907,0.4298,0.0009
52,1520530734000144799,OK,1443,1393,0.4975,0.2263,0.0014
53,1520530734050145799,OK,1442,1396,0.5324,0.4850,0.0013
54,1520530734100147799,OK,1442,1378,0.5513,0.4082,0.0011
55,1520530734150148799,OK,1441,1375,0.5357,0.2168,0.0026
56,1520530734200150799,OK,1440,1382,0.5507,0.1799,0.0008
57,1520530734250152799,OK,1440,1377,0.5498,0.1818,0.0008
58,1520530734300153799,OK,1440,1375,0.5612,0.3053,0.0016
59,1520530734350155799,OK,1440,1356,0.5826,0.2716,0.0018
60,1520530734400153167,OK,1439,1301,0.5251,0.1940,0.0023
61,1520530734450154167,OK,1439,1324,0.5638,0.3550,0.0019
62,1520530734500156167,OK,1437,1346,0.5752,0.1395,0.0007
63,1520530734550158167,OK,1436,1327,0.6184,0.3307,0.0030
64,1520530734600159167,OK,1435,1348,0.6275,0.3712,0.0022
65,1520530734650161167,OK,1433,1345,0.6367,0.3932,0.0011
66,1520530734700162167,OK,1433,1341,0.6504,0.1417,0.0008
67,1520530734750163167,OK,1433,1347,0.6488,0.1431,0.0006
68,1520530734800165167,OK,1433,1346,0.6372,0.3572,0.0009
69,1520530734850171518,OK,1433,1340,0.6392,0.3831,0.0022
70,1520530734900172518,OK,1433,1329,0.6359,0.4404,0.0026
71,1520530734950177518,OK,1433,1331,0.6425,0.3919,0.0012
72,1520530735000175518,OK,1433,1320,0.6512,0.2255,0.0008
73,1520530735050265518,OK,1433,1321,0.6567,0.2552,0.0009
74,1520530735100178518,OK,1433,1325,0.6481,0.3486,0.0022
75,1520530735150180518,OK,1433,1328,0.6531,0.4345,0.0015
76,1520530735200181518,OK,1433,1338,0.6421,0.6043,0.0032
77,1520530735250203097,OK,1433,1338,0.6347,0.7225,0.0020
78,1520530735300204097,OK,1432,1317,0.6092,0.4623,0.0039
79,1520530735350206097,OK,1432,1339,0.6096,0.0969,0.0028
80,1520530735400208097,OK,1429,1358,0.6593,0.4828,0.0008
81,1520530735450209097,OK,1428,1348,0.6364,0.2743,0.0020
82,1520530735500211097,OK,1428,1349,0.6308,0.2796,0.0011
83,1520530735550212097,OK,1428,1343,0.5944,0.5033,0.0021
84,1520530735600214097,OK,1427,1340,0.6045,0.4909,0.0022
85,1520530735650176290,OK,1427,1349,0.6108,0.2821,0.0010
86,1520530735700178290,OK,1427,1344,0.6058,0.4048,0.0027
87,1520530735750179290,OK,1427,1341,0.6095,0.4718,0.0030
88,1520530735800181290,OK,1427,1332,0.6243,0.7669,0.0043
89,1520530735850183290,OK,1427,1318,0.6511,1.0089,0.0059
90,1520530735900184290,OK,1426,1289,0.6880,0.9830,0.0082
91,1520530735950186290,OK,1426,1282,0.7187,0.5354,0.0084
92,1520530736000188290,OK,1421,1298,0.7285,0.6408,0.0131
93,1520530736050192045,OK,1415,1235,0.7436,0.7780,0.0092
94,1520530736100193045,OK,1396,1217,0.7503,0.6255,0.0148
95,1520530736150194045,OK,1391,1204,0.7728,0.7258,0.0161
96,1520530736200196045,OK,1387,1204,0.8255,0.9400,0.0136
97,1520530736250198045,OK,1380,1182,0.8344,0.8519,0.0192
98,1520530736300199045,OK,1374,1121,0.8172,0.4832,0.0217
99,1520530736350200045,OK,1370,1106,0.8255,0.7215,0.0161
100,1520530736400202045,OK,1366,1070,0.8322,0.9707,0.0290
101,1520530736450247764,OK,1328,1058,0.8190,1.2199,0.0186
102,1520530736500248764,OK,1263,1057,0.8540,1.0514,0.0264
103,1520530736550254764,OK,1251,1049,0.8716,0.6683,0.0241
104,1520530736600251764,OK,1249,1007,0.8734,1.1165,0.0215
105,1520530736650343764,OK,1887,1866,0.3441,0.8773,0.0258
106,1520530736700254764,OK,1868,1836,0.4069,0.6211,0.0254
107,1520530736750256764,OK,1838,1807,0.4936,0.7017,0.0253
108,1520530736800257764,OK,1780,1706,0.5373,0.6798,0.0248
109,1520530736850259764,OK,1756,1639,0.5840,0.7876,0.0232
110,1520530736900250167,OK,1731,1623,0.6574,0.7084,0.0203
111,1520530736950252167,OK,1698,1489,0.6826,0.8410,0.0191
112,1520530737000254167,OK,1652,1445,0.7221,0.9938,0.0219
113,1520530737050255167,OK,1625,1408,0.7732,0.9276,0.0190
114,1520530737100257167,OK,1594,1402,0.7995,1.3134,0.0186
115,1520530737150258167,OK,1584,1365,0.7871,1.0333,0.0173
116,1520530737200260167,OK,1572,1329,0.7985,0.4682,0.0199
117,1520530737250261167,OK,1561,1273,0.8360,0.6269,0.0213
118,1520530737300258817,OK,1538,1262,0.8685,0.7071,0.0278
119,1520530737350260817,OK,1473,1199,0.8303,1.0110,0.0297
120,1520530737400261817,OK,1401,1119,0.8542,1.2789,0.0264
121,1520530737450263817,OK,1783,1772,0.2710,1.3468,0.0184
122,1520530737500264817,OK,1595,1574,0.3242,1.1626,0.0119
123,1520530737550266817,OK,1586,1566,0.3516,0.5415,0.0123
124,1520530737600268817,OK,1581,1563,0.3296,0.4591,0.0221
125,1520530737650269817,OK,1576,1553,0.3096,1.3992,0.0305
